field_name,polismart_category,non_null_rows,unique_values,note
Q73A,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q73B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q73C,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q73D,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q74A,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q74B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q74C,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q74D,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q74E,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q75,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q76A,Survey question — map with Round 9 codebook,53444,5,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q76B,Survey question — map with Round 9 codebook,53444,4,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q76C,Survey question — map with Round 9 codebook,53444,5,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q77,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q78A,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q78B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q78C,Survey question — map with Round 9 codebook,53444,8,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q78C1,Survey question — map with Round 9 codebook,53441,8,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q78D,Survey question — map with Round 9 codebook,53444,5,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q78E,Survey question — map with Round 9 codebook,53444,9,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q78F,Survey question — map with Round 9 codebook,53444,8,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q84A,Survey question — map with Round 9 codebook,53444,576,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q84AOTHER,Survey question — map with Round 9 codebook,1031,462,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q84B,Survey question — map with Round 9 codebook,53444,9,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q84C,Survey question — map with Round 9 codebook,53444,10,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q84D,Survey question — map with Round 9 codebook,53444,8,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q84E,Survey question — map with Round 9 codebook,53444,8,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q85A,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q85B,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q86A,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q86B,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q86C,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q86D,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q86E,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q86F,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q87A,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q87B,Survey question — map with Round 9 codebook,53444,8,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q87C,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q87D,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q87E,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q88A,Survey question — map with Round 9 codebook,53444,8,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q88B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q89A,Survey question — map with Round 9 codebook,53444,5,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q89B,Survey question — map with Round 9 codebook,53444,351,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q89BOTHER,Survey question — map with Round 9 codebook,257,162,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q90A,Survey question — map with Round 9 codebook,53444,5,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q90B,Survey question — map with Round 9 codebook,53444,5,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q90C,Survey question — map with Round 9 codebook,53444,5,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q90D,Survey question — map with Round 9 codebook,53444,5,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q90E,Survey question — map with Round 9 codebook,53444,5,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q90F,Survey question — map with Round 9 codebook,53444,5,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q90G,Survey question — map with Round 9 codebook,53444,5,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q90H,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q90I,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q91A,Survey question — map with Round 9 codebook,53444,16,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q91B,Survey question — map with Round 9 codebook,53444,5,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q91C,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q92A,Survey question — map with Round 9 codebook,53444,4,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q92B,Survey question — map with Round 9 codebook,53444,8,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q93A,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q93B,Survey question — map with Round 9 codebook,53444,17,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q93BOTHER,Survey question — map with Round 9 codebook,242,112,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q93C,Survey question — map with Round 9 codebook,53444,9,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q94,Survey question — map with Round 9 codebook,53444,12,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q95,Survey question — map with Round 9 codebook,53444,48,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q95OTHER,Survey question — map with Round 9 codebook,260,165,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q96,Survey question — map with Round 9 codebook,53444,371,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q96OTHER,Survey question — map with Round 9 codebook,398,231,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q97,Survey question — map with Round 9 codebook,53444,14,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q98A,Survey question — map with Round 9 codebook,53444,4,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q99,Survey question — map with Round 9 codebook,34249,30010,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q100,Survey question — map with Round 9 codebook,53168,2,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q101,Survey question — map with Round 9 codebook,53168,8,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q101OTHER,Survey question — map with Round 9 codebook,7,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q102,Survey question — map with Round 9 codebook,53168,125,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q102OTHER,Survey question — map with Round 9 codebook,57,14,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q103,Survey question — map with Round 9 codebook,53168,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q104,Survey question — map with Round 9 codebook,53168,10,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q105,Survey question — map with Round 9 codebook,53168,5,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q106A,Survey question — map with Round 9 codebook,53168,2,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q106B,Survey question — map with Round 9 codebook,53168,2,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q106C,Survey question — map with Round 9 codebook,53168,2,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q106D,Survey question — map with Round 9 codebook,53168,2,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q106E,Survey question — map with Round 9 codebook,53168,2,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q107,Survey question — map with Round 9 codebook,53168,5,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q109A,Survey question — map with Round 9 codebook,53168,3,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q109B,Survey question — map with Round 9 codebook,53168,3,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q109C,Survey question — map with Round 9 codebook,53168,3,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q109D,Survey question — map with Round 9 codebook,53168,3,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q109E,Survey question — map with Round 9 codebook,53168,3,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q109F,Survey question — map with Round 9 codebook,53168,3,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q111,Survey question — map with Round 9 codebook,53168,1364,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q112,Survey question — map with Round 9 codebook,53168,45,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q113,Survey question — map with Round 9 codebook,53168,2,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q114,Survey question — map with Round 9 codebook,53168,3,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q115,Survey question — map with Round 9 codebook,53168,206,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q115OTHER,Survey question — map with Round 9 codebook,357,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q116,Survey question — map with Round 9 codebook,53168,305,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q116OTHER,Survey question — map with Round 9 codebook,401,11,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q117,Survey question — map with Round 9 codebook,53168,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q118_1,Survey question — map with Round 9 codebook,53168,54,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q118_2,Survey question — map with Round 9 codebook,53168,137,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q118_3,Survey question — map with Round 9 codebook,53168,172,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q118_4,Survey question — map with Round 9 codebook,53168,97,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q118_5,Survey question — map with Round 9 codebook,51968,47,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q118_6,Survey question — map with Round 9 codebook,49568,26,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q118_7,Survey question — map with Round 9 codebook,49568,13,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q118_8,Survey question — map with Round 9 codebook,48448,5,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q118_9,Survey question — map with Round 9 codebook,48448,3,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q118_10,Survey question — map with Round 9 codebook,48448,1,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q118_11,Survey question — map with Round 9 codebook,48448,1,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q118OTHER,Survey question — map with Round 9 codebook,2116,45,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q119,Survey question — map with Round 9 codebook,53168,2,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q119v,Survey question — map with Round 9 codebook,10266,9727,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q120,Survey question — map with Round 9 codebook,51647,2,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q120v,Survey question — map with Round 9 codebook,5786,4600,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
withinwt_ea,Survey weighting,52458,6688,"Preserved from source for identification, geography, metadata, or weighting."
withinwt_hh,Survey weighting,52458,28110,"Preserved from source for identification, geography, metadata, or weighting."
Combinwt_old_ea,Survey weighting,52458,6687,"Preserved from source for identification, geography, metadata, or weighting."
Combinwt_new_hh,Survey weighting,52458,28091,"Preserved from source for identification, geography, metadata, or weighting."
